"full_name","team.name","season","sum_disposals","sum_TOG","mean_disposals","mean_TOG","games_played","disp_per_TOG","starting_position"
"Aaron Black","Geelong Cats",2017,63,334,15.75,83.5,4,0.1886,"INT"
"Aaron Black","Geelong Cats",2018,40,208,13.33,69.33,3,0.1923,"INT"
"Aaron Black","North Melbourne",2014,229,1981,10.41,90.05,22,0.1156,"Forward"
"Aaron Black","North Melbourne",2015,26,264,8.67,88,3,0.0985,"Forward"
"Aaron Black","West Coast Eagles",2022,15,75,15,75,1,0.2,"Mid"
"Aaron Cadman","GWS Giants",2023,54,731,4.5,60.92,12,0.0739,"INT"
"Aaron Edwards","Richmond",2014,37,274,12.33,91.33,3,0.135,"Forward"
"Aaron Francis","Essendon",2016,31,238,10.33,79.33,3,0.1303,"Back"
"Aaron Francis","Essendon",2017,22,164,11,82,2,0.1341,"Back"
"Aaron Francis","Essendon",2018,66,396,13.2,79.2,5,0.1667,"INT"
"Aaron Francis","Essendon",2019,205,1297,12.81,81.06,16,0.1581,"Back"
"Aaron Francis","Essendon",2020,79,615,9.88,76.88,8,0.1285,"Back"
"Aaron Francis","Essendon",2021,160,1158,11.43,82.71,14,0.1382,"Back"
"Aaron Francis","Essendon",2022,28,321,7,80.25,4,0.0872,"Back"
"Aaron Francis","Sydney Swans",2023,141,1096,10.07,78.29,14,0.1286,"Back"
"Aaron Hall","Gold Coast Suns",2014,210,1305,13.12,81.56,16,0.1609,"Forward"
"Aaron Hall","Gold Coast Suns",2015,290,1180,19.33,78.67,15,0.2458,"Forward"
"Aaron Hall","Gold Coast Suns",2016,473,1352,27.82,79.53,17,0.3499,"Mid"
"Aaron Hall","Gold Coast Suns",2017,487,1474,25.63,77.58,19,0.3304,"Mid"
"Aaron Hall","Gold Coast Suns",2018,111,429,18.5,71.5,6,0.2587,"Back"
"Aaron Hall","North Melbourne",2019,118,436,19.67,72.67,6,0.2706,"Forward"
"Aaron Hall","North Melbourne",2020,219,1214,14.6,80.93,15,0.1804,"Forward"
"Aaron Hall","North Melbourne",2021,558,1553,27.9,77.65,20,0.3593,"Back"
"Aaron Hall","North Melbourne",2022,259,786,23.55,71.45,11,0.3295,"Back"
"Aaron Hall","North Melbourne",2023,140,495,23.33,82.5,6,0.2828,"INT"
"Aaron Mullett","Carlton",2018,195,1020,15,78.46,13,0.1912,"Back"
