"","season","round.roundNumber","venue.name","full_name","team.name","starting_position","is_home","opponent","kicks","goals","behinds","handballs","disposals","timeOnGroundPercentage","extendedStats.centreBounceAttendances","extendedStats.kickins","extendedStats.kickinsPlayon"
"1",2023,1,"MCG","Liam Baker","Richmond","Back","Home","Carlton",10,0,0,5,15,84,0,1,1
"2",2023,1,"MCG","Noah Balta","Richmond","Back","Home","Carlton",6,0,0,2,8,87,0,0,0
"3",2023,1,"MCG","Shai Bolton","Richmond","Forward","Home","Carlton",15,1,1,3,18,88,11,0,0
"4",2023,1,"MCG","Nathan Broad","Richmond","Back","Home","Carlton",11,0,0,2,13,90,0,0,0
"5",2023,1,"MCG","Trent Cotchin","Richmond","INT","Home","Carlton",9,0,0,9,18,67,6,0,0
"6",2023,1,"MCG","Dylan Grimes","Richmond","Back","Home","Carlton",8,0,0,4,12,82,0,2,2
"7",2023,1,"MCG","Tom Lynch","Richmond","Forward","Home","Carlton",9,3,3,1,10,89,0,0,0
"8",2023,1,"MCG","Rhyan Mansell","Richmond","INT","Home","Carlton",5,0,0,2,7,67,0,0,0
"9",2023,1,"MCG","Marlion Pickett","Richmond","INT","Home","Carlton",4,0,0,6,10,51,0,0,0
"10",2023,1,"MCG","Tim Taranto","Richmond","Mid","Home","Carlton",18,0,2,14,32,80,16,0,0
"11",2023,1,"MCG","Nick Vlastuin","Richmond","Back","Home","Carlton",9,0,1,2,11,91,0,1,1
"12",2023,1,"MCG","Jacob Hopper","Richmond","Mid","Home","Carlton",12,0,0,6,18,72,13,0,0
"13",2023,1,"MCG","Toby Nankervis","Richmond","Ruck","Home","Carlton",8,0,0,6,14,84,18,0,0
"14",2023,1,"MCG","Jack Graham","Richmond","Forward","Home","Carlton",11,0,2,9,20,88,0,0,0
"15",2023,1,"MCG","Maurice Rioli","Richmond","Forward","Home","Carlton",7,2,0,4,11,74,0,0,0
"16",2023,1,"MCG","Jayden Short","Richmond","Mid","Home","Carlton",15,0,0,2,17,77,0,1,1
"17",2023,1,"MCG","Kamdyn McIntosh","Richmond","Mid","Home","Carlton",11,0,0,6,17,82,0,0,0
"18",2023,1,"MCG","Jack Riewoldt","Richmond","Forward","Home","Carlton",9,1,0,3,12,95,0,0,0
"19",2023,1,"MCG","Daniel Rioli","Richmond","Back","Home","Carlton",17,0,0,10,27,84,0,4,3
"20",2023,1,"MCG","Dion Prestia","Richmond","Mid","Home","Carlton",10,0,1,13,23,81,14,0,0
"21",2023,1,"MCG","Dustin Martin","Richmond","Forward","Home","Carlton",15,1,0,8,23,82,0,0,0
"22",2023,1,"MCG","Jack Ross","Richmond","SUB","Home","Carlton",4,0,0,0,4,25,0,0,0
"23",2023,1,"MCG","Ben Miller","Richmond","INT","Home","Carlton",5,0,0,4,9,80,2,0,0
"24",2023,1,"MCG","Blake Acres","Carlton","Mid","Away","Richmond",10,0,0,6,16,84,0,0,0
"25",2023,1,"MCG","Adam Cerra","Carlton","Mid","Away","Richmond",14,0,0,7,21,73,11,0,0
"26",2023,1,"MCG","Lachlan Cowan","Carlton","Back","Away","Richmond",6,0,0,2,8,53,0,0,0
"27",2023,1,"MCG","Patrick Cripps","Carlton","Mid","Away","Richmond",9,0,1,16,25,83,14,0,0
"28",2023,1,"MCG","Charlie Curnow","Carlton","Forward","Away","Richmond",8,3,0,2,10,95,0,0,0
"29",2023,1,"MCG","Ed Curnow","Carlton","Forward","Away","Richmond",12,0,0,2,14,86,4,0,0
"30",2023,1,"MCG","Tom De Koning","Carlton","Ruck","Away","Richmond",7,0,1,6,13,79,16,0,0
"31",2023,1,"MCG","Sam Docherty","Carlton","Back","Away","Richmond",23,1,0,2,25,84,0,4,4
"32",2023,1,"MCG","Jack Martin","Carlton","Forward","Away","Richmond",3,0,1,3,6,71,0,0,0
"33",2023,1,"MCG","George Hewett","Carlton","Mid","Away","Richmond",10,0,0,18,28,71,18,0,0
"34",2023,1,"MCG","Zac Fisher","Carlton","Forward","Away","Richmond",5,1,0,2,7,67,2,0,0
"35",2023,1,"MCG","Matthew Kennedy","Carlton","INT","Away","Richmond",13,0,1,9,22,69,11,0,0
"36",2023,1,"MCG","Oliver Hollands","Carlton","Mid","Away","Richmond",5,0,1,6,11,81,0,0,0
"37",2023,1,"MCG","Mitch McGovern","Carlton","Back","Away","Richmond",17,0,0,4,21,76,0,2,2
"38",2023,1,"MCG","Lewis Young","Carlton","Back","Away","Richmond",14,0,0,6,20,95,0,0,0
"39",2023,1,"MCG","Harry McKay","Carlton","Forward","Away","Richmond",11,1,2,2,13,96,0,0,0
"40",2023,1,"MCG","Jesse Motlop","Carlton","INT","Away","Richmond",5,0,0,5,10,81,0,0,0
"41",2023,1,"MCG","Nic Newman","Carlton","INT","Away","Richmond",9,0,0,5,14,90,0,1,1
"42",2023,1,"MCG","Lochie O'Brien","Carlton","SUB","Away","Richmond",3,0,0,1,4,25,0,0,0
"43",2023,1,"MCG","Matthew Owies","Carlton","INT","Away","Richmond",5,1,1,5,10,70,0,0,0
"44",2023,1,"MCG","Adam Saad","Carlton","Back","Away","Richmond",13,0,0,5,18,86,0,3,3
