"full_name","team.name","season","is_home","mean_disposals","min_disposals","max_disposals","games_played"
"Aaron Black","Geelong Cats",2017,"Away",17,15,21,3
"Aaron Black","Geelong Cats",2017,"Home",12,12,12,1
"Aaron Black","Geelong Cats",2018,"Away",16,16,16,1
"Aaron Black","Geelong Cats",2018,"Home",12,6,18,2
"Aaron Black","North Melbourne",2014,"Away",10.09,6,13,11
"Aaron Black","North Melbourne",2014,"Home",10.73,7,17,11
"Aaron Black","North Melbourne",2015,"Away",10,10,10,1
"Aaron Black","North Melbourne",2015,"Home",8,6,10,2
"Aaron Black","West Coast Eagles",2022,"Away",15,15,15,1
"Aaron Cadman","GWS Giants",2023,"Away",5,4,7,3
"Aaron Cadman","GWS Giants",2023,"Home",4,2,6,6
"Aaron Edwards","Richmond",2014,"Away",16,16,16,1
"Aaron Edwards","Richmond",2014,"Home",10.5,6,15,2
"Aaron Francis","Essendon",2016,"Away",7.5,7,8,2
"Aaron Francis","Essendon",2016,"Home",16,16,16,1
"Aaron Francis","Essendon",2017,"Away",13,13,13,1
"Aaron Francis","Essendon",2017,"Home",9,9,9,1
"Aaron Francis","Essendon",2018,"Away",13,7,19,3
"Aaron Francis","Essendon",2018,"Home",13.5,13,14,2
"Aaron Francis","Essendon",2019,"Away",12.67,9,17,9
"Aaron Francis","Essendon",2019,"Home",13,8,16,7
"Aaron Francis","Essendon",2020,"Away",11,9,13,3
"Aaron Francis","Essendon",2020,"Home",9.2,2,14,5
"Aaron Francis","Essendon",2021,"Away",10.86,5,15,7
"Aaron Francis","Essendon",2021,"Home",12,3,20,7
"Aaron Francis","Essendon",2022,"Away",4,4,4,2
"Aaron Francis","Essendon",2022,"Home",10,9,11,2
"Aaron Francis","Sydney Swans",2023,"Away",8.75,7,12,4
"Aaron Francis","Sydney Swans",2023,"Home",11.33,7,16,6
"Aaron Hall","Gold Coast Suns",2014,"Away",11.11,6,16,9
"Aaron Hall","Gold Coast Suns",2014,"Home",15.71,11,22,7
"Aaron Hall","Gold Coast Suns",2015,"Away",20.12,3,31,8
"Aaron Hall","Gold Coast Suns",2015,"Home",18.43,4,31,7
"Aaron Hall","Gold Coast Suns",2016,"Away",26.89,20,32,9
"Aaron Hall","Gold Coast Suns",2016,"Home",28.88,19,40,8
"Aaron Hall","Gold Coast Suns",2017,"Away",22.67,14,29,9
"Aaron Hall","Gold Coast Suns",2017,"Home",28.3,21,40,10
"Aaron Hall","Gold Coast Suns",2018,"Away",23,20,26,2
"Aaron Hall","Gold Coast Suns",2018,"Home",16.25,5,29,4
"Aaron Hall","North Melbourne",2019,"Away",18.33,16,20,3
"Aaron Hall","North Melbourne",2019,"Home",21,16,26,3
"Aaron Hall","North Melbourne",2020,"Away",14.12,5,23,8
"Aaron Hall","North Melbourne",2020,"Home",15.14,9,21,7
"Aaron Hall","North Melbourne",2021,"Away",25.6,3,38,10
"Aaron Hall","North Melbourne",2021,"Home",30.2,17,37,10
"Aaron Hall","North Melbourne",2022,"Away",22.4,3,31,5
"Aaron Hall","North Melbourne",2022,"Home",24.5,14,38,6
"Aaron Hall","North Melbourne",2023,"Away",23.5,15,30,4
"Aaron Hall","North Melbourne",2023,"Home",23,21,25,2
"Aaron Mullett","Carlton",2018,"Away",15,8,19,5
"Aaron Mullett","Carlton",2018,"Home",15,6,28,8
"Aaron Mullett","North Melbourne",2014,"Away",14.22,6,19,9
"Aaron Mullett","North Melbourne",2014,"Home",15.12,7,22,8
"Aaron Mullett","North Melbourne",2015,"Away",8.5,3,14,2
"Aaron Mullett","North Melbourne",2015,"Home",12,7,17,2
"Aaron Mullett","North Melbourne",2016,"Away",14.25,9,19,8
"Aaron Mullett","North Melbourne",2016,"Home",18,13,28,6
"Aaron Mullett","North Melbourne",2017,"Away",18.3,11,27,10
"Aaron Mullett","North Melbourne",2017,"Home",22.12,15,28,8
"Aaron Naughton","Western Bulldogs",2018,"Away",11.62,3,18,8
"Aaron Naughton","Western Bulldogs",2018,"Home",11.5,1,20,10
"Aaron Naughton","Western Bulldogs",2019,"Away",10,6,14,11
"Aaron Naughton","Western Bulldogs",2019,"Home",12.27,5,20,11
"Aaron Naughton","Western Bulldogs",2020,"Away",7.4,4,13,5
"Aaron Naughton","Western Bulldogs",2020,"Home",7,2,10,6
"Aaron Naughton","Western Bulldogs",2021,"Away",11.64,4,19,11
"Aaron Naughton","Western Bulldogs",2021,"Home",11.2,5,18,10
"Aaron Naughton","Western Bulldogs",2022,"Away",12.82,8,16,11
"Aaron Naughton","Western Bulldogs",2022,"Home",10.4,8,15,10
"Aaron Naughton","Western Bulldogs",2023,"Away",11.38,10,13,8
"Aaron Naughton","Western Bulldogs",2023,"Home",11.14,6,15,7
"Aaron Sandilands","Fremantle",2014,"Away",13.4,8,21,10
"Aaron Sandilands","Fremantle",2014,"Home",12.45,7,20,11
"Aaron Sandilands","Fremantle",2015,"Away",11.6,7,17,10
"Aaron Sandilands","Fremantle",2015,"Home",13.27,8,21,11
"Aaron Sandilands","Fremantle",2016,"Away",3,3,3,1
"Aaron Sandilands","Fremantle",2016,"Home",9.5,5,15,4
"Aaron Sandilands","Fremantle",2017,"Away",12,9,14,4
"Aaron Sandilands","Fremantle",2017,"Home",10.33,2,15,6
"Aaron Sandilands","Fremantle",2018,"Away",12.5,6,16,6
"Aaron Sandilands","Fremantle",2018,"Home",9.8,7,13,5
