"full_name","team.name","season","venue.name","mean_disposals","min_disposals","max_disposals","games_played"
"Aaron Black","Geelong Cats",2017,"GIANTS Stadium",15,15,15,1
"Aaron Black","Geelong Cats",2017,"Heritage Bank Stadium",15,15,15,1
"Aaron Black","Geelong Cats",2017,"MCG",12,12,12,1
"Aaron Black","Geelong Cats",2017,"Marvel Stadium",21,21,21,1
"Aaron Black","Geelong Cats",2018,"GMHBA Stadium",12,6,18,2
"Aaron Black","Geelong Cats",2018,"Heritage Bank Stadium",16,16,16,1
"Aaron Black","North Melbourne",2014,"Adelaide Oval",9,9,9,1
"Aaron Black","North Melbourne",2014,"Blundstone Arena",10,10,10,2
"Aaron Black","North Melbourne",2014,"Domain Stadium",10,10,10,2
"Aaron Black","North Melbourne",2014,"GMHBA Stadium",6,6,6,1
"Aaron Black","North Melbourne",2014,"Gabba",10,10,10,1
"Aaron Black","North Melbourne",2014,"MCG",12.5,12,13,2
"Aaron Black","North Melbourne",2014,"Manuka Oval",9,9,9,1
"Aaron Black","North Melbourne",2014,"Marvel Stadium",10.73,7,17,11
"Aaron Black","North Melbourne",2014,"SCG",12,12,12,1
"Aaron Black","North Melbourne",2015,"Marvel Stadium",8.67,6,10,3
"Aaron Black","West Coast Eagles",2022,"Marvel Stadium",15,15,15,1
"Aaron Cadman","GWS Giants",2023,"Adelaide Oval",6,6,6,1
"Aaron Cadman","GWS Giants",2023,"GIANTS Stadium",3.33,2,5,3
"Aaron Cadman","GWS Giants",2023,"GMHBA Stadium",4,4,4,1
"Aaron Cadman","GWS Giants",2023,"MCG",7,7,7,1
"Aaron Cadman","GWS Giants",2023,"Manuka Oval",4.67,3,6,3
"Aaron Cadman","GWS Giants",2023,"Mars Stadium",3,3,3,1
"Aaron Cadman","GWS Giants",2023,"Norwood Oval",6,6,6,1
"Aaron Cadman","GWS Giants",2023,"SCG",4,4,4,1
"Aaron Edwards","Richmond",2014,"MCG",12.33,6,16,3
"Aaron Francis","Essendon",2016,"Adelaide Oval",7,7,7,1
"Aaron Francis","Essendon",2016,"Marvel Stadium",12,8,16,2
"Aaron Francis","Essendon",2017,"Domain Stadium",13,13,13,1
"Aaron Francis","Essendon",2017,"MCG",9,9,9,1
"Aaron Francis","Essendon",2018,"Adelaide Oval",19,19,19,1
"Aaron Francis","Essendon",2018,"MCG",10,7,13,2
"Aaron Francis","Essendon",2018,"Marvel Stadium",13.5,13,14,2
"Aaron Francis","Essendon",2019,"Adelaide Oval",17,17,17,1
"Aaron Francis","Essendon",2019,"GIANTS Stadium",11,11,11,1
